Song Name,Lyrics,Composer,Lyricist,Singer,Album,Year,Metaphor,Source Domain,Target Domain,Type of Metaphor,Interpretation
அய்யய்யோ ஆனந்தமே,அய்யய்யயோ ஆனந்தமே நெஞ்சுக்குள்ளே ஆரம்பமே நூறு கோடி வானவில் மாறி மாறி சேருதே காதல் போடும் தூறலில் தேகம் மூழ்கி போகுதே ஏனோ ஒரு ஆசை வா வா கதை பேச அய்யய்யோ அய்யய்யய்யோ அய்யய்யய்யோ உன்னை முதல்முறை கண்ட நொடியினில் தண்ணிக்குள்ள விழுந்தேன் அன்று விழுந்தவன் இன்னும் எழும்பல மெல்ல மெல்ல கரைந்தேன் கரை சேர நீயும் கையில் ஏந்த வா உயிா் காதலோடு நானும் நீந்தவா கண்களில் கண்டது பாதி வரும் கற்பனை தந்தது மீதி தொடுதே சுடுதே மனதே அய்யய்யயோ ஆனந்தமே நெஞ்சுக்குள்ளே ஆரம்பமே கண்கள் இருப்பது உன்னை ரசித்திட என்று சொல்ல பிறந்தேன் கைகள் இருப்பது தொட்டு அணைத்திட அள்ளிக் கொள்ள துணிந்தேன் எதற்காக கால்கள் கேள்வி கேட்கிறேன் துணை சோ்ந்து போக தேதி பாா்க்கிறேன் நெற்றியில் குங்குமம் சூட இளம் நெஞ்சினில் இன்பமும் கூட மெதுவா வரவா தரவா.. அய்யய்யயோ ஆனந்தமே நெஞ்சுக்குள்ளே ஆரம்பமே நூறு கோடி வானவில் மாறி மாறி சேருதே காதல் போடும் தூறலில் தேகம் மூழ்கி போகுதே ஏனோ ஒரு ஆசை வா வா கதை பேச அய்யய்யோ,இமான்,யுக பாரதி,ஹரிச்சரண்,கும்கி,2012,நூறு கோடி வானவில் மாறி மாறி சேருதே,நூறு கோடி வானவில்,இன்பம்,குணம் சார்,காதல் வயப்பட்ட ஆணின் நிலை
அரபு நாடே,லஹில லஹிலா லஹில லஹிலா (2)  முகத்தை எப்போதும் மூடி வைக்காதே எனது நெஞ்சத்தில் முள்ளை தைக்காதே  என் கண்மணி காதோடு சொல் உன் முகவரி ஓ ஓ எந்நாளுமே என் பாட்டுக்கு நீ முதல் வரி ஹே ஹே ஹே  முகத்தை எப்போதும் மூடி வைக்காதே எனது நெஞ்சத்தில் முள்ளை தைக்காதே  அரபு நாடே அசந்து நிற்கும் அழகியா நீ உருது கவிஞன் உமர்கயாமின் கவிதையா ஹே ஹே ஹே  ஏ உன்னுடைய நெற்றி உன்னை பற்றி கூறுதே உள்ளிருக்கும் பொட்டு உந்தன் குட்டு சொல்லுதே  என்னுடைய பார்வை கழுகு பார்வை தெரிஞ்சுக்கோ ஓஓ எனக்கிருக்கும் சக்தி பரா சக்தி புரிஞ்சுக்கோ  கால் கொலுசு தான் கல கலக்குது கையின் வளையல் காது குளிர கானம் பாட ஹே ஹே  முகத்தை எப்போதும் மூடி வைக்காதே எனது நெஞ்சத்தில் முள்ளை தைக்காதே  போட்டிருக்கும் கோஷா வேஷம் பேஷா பொருந்துதே பெண் அழகு மொத்தம் காண சித்தம் விரும்புதே  வெண்ணிலாவின் தேகம் மூடும் மேகம் விலகுமா வண்ண உடல் யாவும் காணும் யோகம் வாய்க்குமா  கொஞ்சம் கொழுப்பு கொஞ்சம் திமிரு எனக்கும் இருக்கு உனக்கு மேலே அன்பு தோழி ஹே ஹே  லஹில லஹிலா லஹில லஹிலா (2)  முகத்தை எப்போதும் மூடி வைக்காதே எனது நெஞ்சத்தில் முள்ளை தைக்காதே  லஹில லஹிலா லஹில லஹிலா (2),யுவன் ஷங்கர் ராஜா,வாலி,ஹரிச்சரண்,தொட்டால் பூ மலரும்,2007,வெண்ணிலாவின்தேகம் மூடும் மேகம்,வெண்ணிலா,பெண்,குணம் சார்,பெண் சார் விபரிப்பு
வாஜி வாஜி,ஆம்பல் ஆம்பல் மவ்வல் மவ்வல் (2)  பூம்பாவாய் ஆம்பல் ஆம்பல் புன்னகையோ மவ்வல் மவ்வல்  உன் பூவிழிப் பார்வை போதுமடி என் பூங்கா இலைகளும் மலருமடி உன் கால்கொலுசொலிகள் போதுமடி பல கவிஞர்கள் கற்பனை தவிடுபொடி  வாஜி வாஜி வாஜி என் ஜீவன் சிவாஜி (2) அன்பா வாளை எடு அழகை சாணையிடு உன்ஆண் வாசனை என் மேனியில் நீ பூசிவிடு  அடி நெட்டை நிலவே ரெட்டைத் திமிரே நெஞ்சில் முட்டிக் கொல்லு  வாஜி வாஜி வாஜி என் ஜீவன் சிவாஜி (2)  பூம்பாவாய் ஆம்பல் ஆம்பல் புன்னகையோ மவ்வல் மவ்வல்  ..   ஒரு வெண்ணிலவை மணக்கும் மன்மதன் நான் என் தேன்நிலவே ஒரு நிலவுடன் தான் அவள் யாருமில்லை இதோ இதோ இவள்தான்  புன்னகை பேர் அரசே தேன்குளத்து பூவுக்குள் குளிப்பேரா ஆ ஆ ஹா புன்னகை பேர் அரசே தேன்குளத்து பூவுக்குள் குளிப்பேரா விடியும்வரை மார்புக்குள் இருப்பேரா விழிகளுக்குள் சிறுதுயில் கொள்வேரா ஓ.. பெண்களிடம் சொல்வது குறைவு செய்வது அதிகம் செயல்புயல் நானடி  வாஜி வாஜி வாஜி என் ஜீவன் சிவாஜி (2)  பூம்பாவாய் ஆம்பல் ஆம்பல் புன்னகையோ மவ்வல் மவ்வல்    பொன் வாக்கியமே வாய் வாத்தியமே உன் வளைவுகளில் உள்ள நெளிவுகளில் வந்து ஒளிந்து கொண்டேன் சுகம்சுகம் கண்டேன்  ஆனந்த வெறியில் நான் ஆடைகளில் பூமியை முடிந்து கொண்டேன் விண்வெளியில் ஜதிசொல்லி ஆடி வெண்ணிலவைச் ஜகதியும் ஆக்கிவிட்டேன்  அடடா குமரியின் வளங்கள் குழந்தையின் சிணுங்கல் முரண்பாட்டு மூட்டை நீ  வாஜி வா வா வா வாஜி வாஜி வாஜி என் ஜீவன் சிவாஜி வாஜி வாஜி வாஜி ஹே ஹே ஹே என் ஜீவன் சிவாஜி  ஓ பூம்பாவாய் ஆம்பல் ஆம்பல் புன்னகையோ மவ்வல் மவ்வல்  உன் பூவிழிப் பார்வை போதுமடி என் பூங்கா இலைகளும் மலருமடி உன் கால்கொலுசொலிகள் போதுமடி பல கவிஞர்கள் கற்பனை தவிடுபொடி  ஆம்பல் ஆம்பல் மவ்வல் மவ்வல் (2),ஏ. ஆர். ரஹ்மான்,வைரமுத்து,ஹரிகரன்,சிவாஜி,2007,புன்னகை பேர் அரசே,புன்னகை பேர் அரசன்,ஆண்,குணம் சார்,ஆண் சார் விபரிப்பு
நெஞ்சில் ஜில் ஜில்,நெஞ்சில் ஜில் ஜில் ஜில் ஜில் காதில் தில் தில் தில் தில் கன்னத்தில் முத்தமிட்டால் நீ கன்னத்தில் முத்தமிட்டால் (2)  ஒரு தெய்வம் தந்த பூவே கண்ணில் தேடல் என்ன தாயே (2)  வாழ்வு தொடங்கும் இடம் நீதானே  ஆஆஆஆஆஆஆஆ..  வாழ்வு தொடங்கும் இடம் நீதானே  வானம் முடியும் இடம் நீதானே காற்றைப் போல நீ வந்தாயே சுவாசமாக நீ நின்றாயே மார்பில் ஊறும் உயிரே  ஒரு தெய்வம் தந்த பூவே கண்ணில் தேடல் என்ன தாயே  நெஞ்சில் ஜில் ஜில் ஜில் ஜில் காதில் தில் தில் தில் தில் கன்னத்தில் முத்தமிட்டால் நீ கன்னத்தில் முத்தமிட்டால்  எனது செல்வம் நீ எனது வறுமை நீ இழைத்த கவிதை நீ எழுத்துப் பிழையும் நீ  இரவல் வெளிச்சம் நீ இரவின் கண்ணீர் நீ (2)  எனது வானம் நீ இழந்த சிறகும் நீ (2) நான் தூக்கி வளர்த்த துயரம் நீ  ஒரு தெய்வம் தந்த பூவே சிறு ஊடல் என்ன தாயே (2),ஏ. ஆர். ரஹ்மான்,வைரமுத்து,ஜெயச்சந்திரன்,கன்னத்தில் முத்தமிட்டால்,2002,காற்றைப்போல நீ வந்தாயே,காற்று,குழந்தை,குணம் சார்,குழந்தையின் பிறப்பு சார்பான ஒப்பீடு
தூவானம் தூவத்தூவ,தூவானம் தூவ தூவ மழை துளிகளில் உன்னை கண்டேன் என் மேலே ஈரம் ஆக உயிா் கரைவதை நானே கண்டேன் கடவுள் வரங்கள் தரும் பல கதை கேட்டேன் அவரே வரமாய் வருவதை இங்கு பாா்த்தேன் வேறு என்ன வேண்டும் வாழ்வில் தூவானம் தூவ தூவ மழை துளிகளில் உன்னை கண்டேன் குயிலென மனம் கூவும் மயிலென தரை தாவும் என்னோடு நீ நிற்கும் வேளையில் புழுதியும் பளிங்காகும் புழுக்களும் புனுகாகும் கால் வைத்து நீ செல்லும் சாலையில் யாா் தீங்கு செய்தாலும் மன்னிக்க தோன்றும் நீ தந்த இம்மாற்றம் என் வெட்கம் தூண்டும் காதல் வந்தால் கோபம் எல்லாமே காற்றோடு காற்றாக போகின்றதே தூவானம் தூவ தூவ மழை துளிகளில் உன்னை கண்டேன் இரவுகள் துணை நாடும் கனவுகள் கடை போடும் நீ இல்லை என்றால் நான் காகிதம் விரல்களில் விரல் கோா்க்க உதட்டினை உவா்பாக்க நீ வந்தால் நான் வண்ண ஓவியம் நெஞ்சுக்குள் பொல்லாத ஆறேழு வீணை ரிங்காரம்தான் செய்து கொல்கின்ற ஆணை நீ தான் கை தூக்க வேண்டும் என் கண்ணே கை நீட்டு தாலாட்டு கண் மூடுவேன் தூவானம் தூவ தூவ மழை துளிகளில் உன்னை கண்டேன் என் மேலே ஈரம் ஆக உயிா் கரைவதை நானே கண்டேன் கடவுள் வரங்கள் தரும் பல கதை கேட்டேன் அவரே வரமாய் வருவதை இங்கு பாா்த்தேன் வேறு என்ன வேண்டும் வாழ்வில்,இமான்,தாமரை,விசால் டட்லணி,றோமியோ ஜூலியட்,2015,குயிலென மனம் கூவும்,குயில்,மனம்,பண்பு சார்,காதல் வயப்பட்ட ஆணின் நிலை
நிஜமா நிஜமா,நிஜமா நிஜமா இது என்ன நிஜமா நீ வந்த நொடி நிஜமா  நிஜமா நிஜமா இது என்ன நிஜமா நீ வந்த நொடி நிஜமா  நிஜமா நிஜமா இது என்ன நிஜமா நீ நான் ஆனால் நிஜமா  ஒரு மரங்கொத்தி பறவை மனம் கொத்தி போகுதே மழை நின்ற போதும் மரக்கிளை தூறுதே பூட்டி வைத்த நெஞ்சில் பூப்பூக்குதே பார்க்கும் போதே கண்கள் பறிப்போகுதே  நிஜமா நிஜமா இது என்ன நிஜமா நீ வந்த நொடி நிஜமா  நிஜமா நிஜமா இது என்ன நிஜமா நீ நான் ஆனால் நிஜமா    நேற்று இன்று நாளை என்பதென்ன காலம் உறைந்து போனது நெற்றி பொட்டில் கோடி மின்னல் வீச கடவுள் ஆக தோணுதே  வேற்று கிரகம் போலே இன்று எனக்கு எந்தன் வீடு ஆனதே வெற்று கோபம் என்ன அர்த்தம் மாறி வெட்கம் ஆகி போனதே  வண்ணத்து பூச்சி சிறகால் மோதியே வானமும் இடிந்தால் அதுதான் காதலே இடி மின்னல் மழை இந்த மூன்றுமே இதயத்தில் தந்தால் அது காதலே  நிஜமா நிஜமா இது என்ன நிஜமா நீ நாம் நிஜமா  கோடை வாடை இளவேனில் காலம் கார்காலம் நான்குமே காதல் காலம் எந்த காலம் என்று உண்மை சொல்ல கூடுமோ  கிழக்கு மேற்கு வடக்கோடு தெற்கு திசைகள் நான்கு யாவுமே காதல் எந்த திசையில் செல்லும் என்று கண் சொல்ல கூடுமோ  கருவறை எனக்கும் இருந்தால் முல்லையே கடைசி வரைக்கும் சுமப்பேன் உனையே உயிர் அறை ஒன்றை உருவாக்கிய என் உயிர் உள்ள வரை என்னை பூட்டுவேன்  நிஜமா நிஜமா இது என்ன நிஜமா நீ வந்த நொடி நிஜமா,யுவன் ஷங்கர் ராஜா,நா முத்துக்குமார்,ஷ்ரேயா கோசல்,போஸ்,2004,ஒரு மரங்கொத்தி பறவைமனம் கொத்தி போகுதே,மரங்கொத்தி பறவை,பெண்,குணம் சார்,பெண் சார் வர்ணணை
பறவையே எங்கு இருக்கிறாய்,பறவையே எங்கு இருக்கிறாய் பறக்கவே என்னை அழைக்கிறாய் தடயங்கள் தேடி வருகிறேன் அன்பே (2)  அடி என் பூமி தொடங்கும் இடம் எது நீ தானே அடி என் பாதை இருக்கும் இடம் எது நீ தானே  பார்க்கும் திசைகள் எல்லாம் பாவை முகம் வருதே மீன்கள் கானலின் நீரில் தெரிவதுண்டோ கண்கள் பொய்கள் சொல்வதுண்டோ  நீ போட்ட கடிதத்தின் வரிகள் கடலாக அதில் மிதந்தேனே பெண்ணே நானும் படகாக  பறவையே எங்கு இருக்கிறாய் பறக்கவே என்னை அழைக்கிறாய் தடயங்கள் தேடி வருகிறேன் அன்பே    உன்னோடு நானும் போகின்ற பாதை இது நீளாதோ தொடு வானம் போலவே கதை பேசிக் கொண்டே வா காற்றோடு போவோம் உரையாடல் தீர்ந்தாலும் உன் மௌனங்கள் போதும்  இந்த புல் பூண்டும் பறவையாவும் போதாதா இனி பூலோகம் முழுதும் அழகாய் போகாதா முதல் முறை வாழப் பிடிக்குதே முதல் முறை வெளிச்சம் பிறக்குதே முதல் முறை முறிந்த கிளை ஒன்று பூக்குதே  முதல் முறை கதவு திறக்குதே முதல் முறை காற்று வருகுதே முதல் முறை கனவு பலிக்குதே அன்பே  ஏழை காதல் மலைகள் தன்னில் தோன்றுகின்ற ஒரு நதியாகும் மண்ணில் விழுந்தும் ஒரு காயமின்றி உடையாமல் உருண்டோடும் நதியாகிடுவோம்  இதோ இதோ இந்த பயணத்திலே இது போதும் கண்மணி வேறென்ன நானும் கேட்பேன் பிரிந்தாலும் மனதிலே இந்த நொடியில் என்றும் வாழ்வேன்  இந்த நிகழ்காலம் இப்படியே தான் தொடராதா என் தனியான பயணங்கள் இன்றுடன் முடியாதா  முதல் முறை வாழப் பிடிக்குதே முதல் முறை வெளிச்சம் பிறக்குதே முதல் முறை முறிந்த கிளை ஒன்று பூக்குதே  முதல் முறை கதவு திறக்குதே முதல் முறை காற்று வருகுதே முதல் முறை கனவு பலிக்குதே அன்பே,யுவன் ஷங்கர் ராஜா,நா முத்துக்குமார்,இளையராஜா,கற்றது தமிழ்,2007,நீ போட்ட கடிதத்தின்வரிகள் கடலாக அதில்மிதந்தேனே பெண்ணேநானும் படகாக,படகு,ஆண்,குணம் சார்,காதலியின் கடிதங்களால் சூழ்ந்த காதலன்
இறகை போலே,இறகை போலே அலைகிறேனே உந்தன் பேச்சை கேட்கையிலே குழந்தை போலே தவழ்கிறேனே உந்தன் பார்வை தீண்டயிலே  தொலையாமல் தொலைந்தேனே உன் கைகள் என்னை தொட்டதும் கரையாமல் கரைந்தேனே உன் மூச்சு காற்று பட்டதும்  அநியாய காதல் வந்ததே அடங்காத ஆசை தந்ததே எனக்குள்ளே ஏதோ மின்னல் போலே தொட்டு சென்றதே  கண்ணோரம் காதல் வந்தால் கண்ணீரும் தித்திப்பாகும் வேறுஒன்றும் தேவையில்லை நீ மட்டும் போதும் போதும்  என்னோடு நீயும் வந்தால் எல்லாமே கையில் சேரும் வேறுஒன்றும் தேவையில்லை நீ மட்டும் போதும் போதும் ஓ ஓ ஓ  ..  கூட வந்து நீ நிற்பதும் கூடுவிட்டு நான் செல்வதும் தொடருதே தொடருதே நாடகம்  பாதி மட்டுமே சொல்வதும் மீதி நெஞ்சிலே என்பதும் புரியுதே புரியுதே காரணம் நேரங்கள் தீருதே வேகங்கள் கூடுதே பூவே உன் கண்ணுக்குள்ளே பூமி பந்து சுத்துதே  கண்ணோரம் காதல் வந்தால் கண்ணீரும் தித்திப்பாகும் வேறுஒன்றும் தேவையில்லை நீ மட்டும் போதும் போதும்  என்னோடு நீயும் வந்தால் எல்லாமே கையில் சேரும் வேறுஒன்றும் தேவையில்லை நீ மட்டும் போதும் போதும் ஓ ஓ ஓ  ஹே என்னானதோ ஏதானதோ இல்லாமல் போச்சே தூக்கமும் கண்ணே உன்னை காணாமல் நான் இல்லை ஓ ஓ என்மீதிலே உன் வாசனை  எப்போதும் வீச பார்கிறேன் அன்பே உன்னை சேராமல் வாழ்வில்லை ஓ ஓ நீ என்னை காண்பதே வானவில் போன்றதே துாரத்தில் உன்னை கண்டால் தூறல் நெஞ்சில் சிந்துதே ஓ ஓ ஓ  கண்ணோரம் காதல் வந்தால் கண்ணீரும் தித்திப்பாகும் வேறுஒன்றும் தேவையில்லை நீ மட்டும் போதும் போதும்  என்னோடு நீயும் வந்தால் எல்லாமே கையில் சேரும் வேறுஒன்றும் தேவையில்லை நீ மட்டும் போதும் போதும் ஓ ஓ ஓ,யுவன் ஷங்கர் ராஜா,யுகபாரதி,யுவன் ஷங்கர் ராஜா,நான் மகான் அல்ல,2010,மின்னல் போலே தொட்டு சென்றதே,மின்னல்,பெண்ணின் தொடுகை,குணம் சார்,காதலியின் கண பொழுதிலான தொடுகை/ தீண்டல்
கேட்டேனா நான்,ம்ம் ம்ம் ம்ம் ம்ம் கேட்டேனா உன்னை கேட்டேனா என்னைக் காதல் செய்யென்று கேட்டேனா மாட்டேனா என்னைத்தர மாட்டேனா என்னை நானாக தரமாட்டேனா  எனை தொட எனை தொட விரல்கலாச்சோ விழி விழி தொட விழி தொட விலகிபோச்சோ மொழி வர வர இளைக்கிறேன் ஏனடா  தீக்குள் விரலை வைத்தேன் தித்தித்தாய் அங்கே நீதான் முண்டாசு கவிஞன் சொன்ன கண்ணமாவா..  நான் கற்ற அறிவியலில் உன்னைப்போல் அதிசயம் இல்லை திக்கற்று நிற்குது கண்ணே விஞ்ஞானம்தான்  நான் தான் அந்த ஐன்ஸ்டீன் னா உன்னை ஆராய்ச்சி செய்ய என்னால் ஆகாதே நீதான் புது விண்மீனா இந்த வையத்தை விட்டு வானம் போகாதே  நீரும் இன்றி வேரும் இன்றி பூப்பூக்கும் வித்தைதானா காதல் ஓ சொல்லும் இன்றி மெட்டும் இன்றி கண் பாடும் கவிதைதானா காதல் ஓ..  இலக்கிய கனியை ஆதாம் தின்றாள் விழைந்தது அன்றே காதல் இலக்கிய வடிவில் உமர் கையாம் சொன்னான் வளர்ந்தது அழகாய் காதல் தண்ணீரில் கல் எறிந்தால் உண்டாகும் வட்டம் போலே கண்ணா நான் கண்டேன் என்னுள் வட்டங்களே  கண்ணை ஒரு கல்லைப்போல கண்ணே நான் விட்டெறிந்தேன் உண்டாச்சு காதல் வட்டம் உள்ளுக்குள்ளே  கேட்டேனா உன்னை கேட்டேனா என்னைக் காதல் செய்யென்று கேட்டேனா மாட்டேனா என்னைத்தர மாட்டேனா என்னை நானாக தரமாட்டேனா  ம்ம் சிக்கிமுக்கி கற்கள் கொண்டு உண்டாக்கி வைப்பதுண்டு தீயே ஓ வத்தி குச்சி விழிகள் கொண்டு தீ மூட்டி வைத்ததென்ன நீயே ஓ  காற்றினில் வைத்த கற்பூரம் போல் உன்னில் கரைந்தேன் நானே தனியாய் எனக்கோர் முகவரி ஏது நான் உன் நிழலாய் போனேன்  உன் பேரை சொல்லி சொல்லி உமிழ்நீரும் தமிழ்நீராச்சு பிறகென்ன என்னைப்பற்றி கவிதை பாடு  கவிதைக்குள் சிக்காதம்மா கண்ணே உன் சௌந்தர்யம்தான் உனைப்போல் பொய் தான் சொல்ல உலகில் யாரு  கேட்டேனா உன்னை கேட்டேனா என்னைக் காதல் செய்யென்று கேட்டேனா மாட்டேனா என்னைத்தர மாட்டேனா என்னை நானாக தரமாட்டேனா,ஏ. ஆர். ரஹ்மான்,வாலி,சந்தனா சர்க்கம்,தேசம்,2002,நீதான் புது விண்மீனாஇந்த வையத்தை விட்டுவானம் போகாதே,புது விண்மீனா,பெண்,பேச்சு உருவகம்,காதலியை விண்மீனுடன் ஒப்பிடல்
சாமிகிட்ட சொல்லிப்புட்டேன்,சாமிகிட்ட சொல்லிப்புட்டேன் உன்ன நெஞ்சில் வச்சி கிட்டேன் ஒத்தயா நீ நானும் பேசிக்கவே முடியலன்னு மனசுக்குள்ளே பேசிக்கிட்டோம் சுத்தமா நீ நானும் பாா்த்துக்கவே முடியலன்னு கனவுக்குள்ளே பாா்த்துக்கிட்டோம் (3)  ஒரு கோடி புள்ளி வச்ச நான் போட்ட காதல் கோலம் ஒரு பாதி முடியும் முன்ன அழிச்சிருச்சு காலம் காலம் இன்னொரு ஜென்மம் நான் மறுபடி பொறந்து வந்து உனக்காகக் காத்திருப்பேன் அப்பவும் சேராமல் இருவரும் பிரியனும்னா பொறக்காமல் போயிடுவேன்  சாமிகிட்ட சொல்லிப்புட்டேன் சாமிகிட்ட சொல்லிப்புட்டேன்  தெப்பக் குளத்தில் படிஞ்ச பாசி கல் எறிஞ்சா கலையும் கலையும் நெஞ்சக் குளத்தில் படிஞ்ச காதல் எந்த நெருப்பில் எரியும் எரியும் நீ போன பாத மேல சருக்காக கடந்த சுகமா உன்னோட ஞாபகம் எல்லாம் மனசுக்குள்ள இருக்கும் ரனமா கட்டுக் காவல் மீறி வர காதல் நெஞ்சு கெஞ்சுதே  மனசுக்குள்ள பூட்டி மறச்ச அப்போ எதுக்கு வெளியில சிரிச்ச கனவுக்குள்ள ஓடி புடிச்ச நெசத்துல தான் தயங்கி நடிச்ச அடி போடி பயந்தாங்கோலி எதுக்காக ஊமை ஜாடை நீ இருந்த மனச அள்ளி எந்த தீயில் நானும் போட உன்னை என்னை கேட்டுக்கிட்டா காதல் நெஞ்ச தட்டிச்சு,யுவன் ஷங்கர் ராஜா,பா விஜய்,சந்தனா சர்க்கம்,தாஸ்,2005,நெஞ்சக் குளத்தில் படிஞ்ச காதல்,குளம்,நெஞ்சு,குணம் சார்,பரந்த ஆழமான இதயம்
வான் நிலா,வான் நிலா தரும் ஒளி இவள் விழி தேன் பலா தரும் சுவை இவள் மொழி தமிழ்தானோ  பாற்புகழ் நைல் நதி இவள் நடை தாமரை மலர்கொடி இவள் இடை தமிழ் பெண்ணோ  உன் அழகினை பாட என் தமிழ் மொழி போதாது நான் உவமைகள் சொன்னால் அது முழுமையென்றாகாது  நீ ஒரே ஒருதரம் பிறந்தவள் அவன் படைப்பினில் மிக சிறந்தவள் ஓஹோஹோ ஹோ ஓஓ ஓஓ  சிலு சிலுவென விழும் புது பனி துளியோ மழை எழுதும் முதல் கவியோ தம் தம் தம் சங் சங்கீதம் கொலுசோடு ஜல் நீலம் தொயித்த அந்த ஆகாயம் உந்தன் மேலாடும் நூலாடையோ  ஒரு சரம் சிரிக்கையில் தெரிக்கையில் புது புது கவிதைகள் புறப்படும் புலப்படும்  ரதியே ரதம்போல் நடந்தேன் நீ வரும் வழி எங்கும் குறுஞ்சி மலர்போல் குலுங்கும் கூர் நெருஞ்சி முள் என்றும்  நதிக்குள் குதிக்கும் மீன்கள் உன் நீள் விழி கண்டு நிலத்தில் வாழும் மீனோ என வியர்ப்பது உண்டு  வான் நிலா தரும் ஒளி இவள் விழி தேன் பலா தரும் சுவை இவள் மொழி தமிழ்தானோ பாற்புகழ் நைல் நதி இவள் நடை தாமரை மலர்கொடி இவள் இடை தமிழ் பெண்ணோ  தினம் தினம் மனதினில் முதல் முகமெழுதி ரசித்திருப்பேன் உயிர் தழுவி  கா தல் தே வி என் நெஞ்சம் உன் கோயில் தான் காதல் என்னும் அந்த ஒர் தீபம் எந்தன் எண்ணங்கள் ஏற்றதோ  இடி மின்னல் மழையிலும் அடிகின்ற புயலிலும் உயிர் உள்ள வரையிலும் ஒளி விடும் விளக்கிது  என்னை தான் கணம் நீ பிரிந்தால் நீர் விழிகளும் வார்க்கும் உன்னைதான் வருத்தும் அவள் யார் என இயற்கையும் கேட்கும்  பெண்ணை அழகாய் படைத்தால் அந்த இயற்கையும் வேலை அறிந்தும் என்னையே கேட்டாய் அட இது என்ன லீலை  வான் நிலா தரும் ஒளி இவள் விழி தேன் பலா தரும் சுவை இவள் மொழி தமிழ்தானோ  பாற்புகழ் நைல் நதி இவள் நடை தாமரை மலர்கொடி இவள் இடை தமிழ் பெண்ணோ  உன் அழகினை பாட என் தமிழ் மொழி போதாது நான் உவமைகள் சொன்னால் அது முழுமையென்றாகாது  நீ ஒரே ஒருதரம் பிறந்தவள் அவன் படைப்பினில் மிக சிறந்தவள் ஓஹோஹோ ஹோ ஓஓ ஓஓ,ஏ. ஆர். ரஹ்மான்,வாலி,ஸ்ரீனிவாஷ்,காதல் வைரஸ்,2002,மழை எழுதும் முதல் கவியோ,மழை எழுதும் முதல் கவி,பெண்,குணம் சார்,காதலி சார் வர்ணணை
ஆத்தோரத்திலே ஆலமரம்,ஆத்தோரத்திலே ஆலமரம் ஆலமரம் ஆலமரத்தில் தூளி கட்டி ஆட வரும் ஸ்வர்ணக்குயிலே  ஆத்தோரத்திலே ஆலமரம் ஆலமரம் ஆலமரத்தில் தூளி கட்டி ஆட வரும் ஸ்வர்ணக்குயிலே  ஆடும் நெஞ்சில் ஆடும் சின்னக் கண்ணம்மா கண்ணம்மா ஆடி வெள்ளம் போலப் பொங்கி பாடலாமா  கூடு கட்டி நெஞ்சில் வாழும் பொன்னம்மா பொன்னம்மா கொஞ்சிக் கொஞ்சி கொஞ்சம் வந்து பேசலாமா ஒன்னத் தானே பாட்டில் வெச்சேன் நெஞ்சுக்குள்ள பூட்டி வெச்சேன்.  ஆத்தோரத்திலே ஆலமரம் ஆலமரம் ஆலமரத்தில் தூளி கட்டி ஆட வரும் ஸ்வர்ணக்குயிலே  வெள்ளி கொலுசு ரெண்டு துள்ளி குலுங்க உந்தன் காலடியின் ஓச மட்டும் கேட்கும் நெஞ்சில் வரைஞ்சு வெச்ச உந்தன் அழகைக் கண்ணில் பார்த்திருக்க ஆசை எல்லாம் தீரும்  வானின் வடிவம் என்ன மண்ணின் வனப்பும் என்ன நீ கொடுத்த கண்ணைக் கொண்டு பார்ப்பேன் காடு மலைகள் எங்கும் ஓடி குதிச்சு வந்து ஓய்வெடுக்க உன் மடியை கேட்பேன்  என் வானிலே நான் பார்க்கும் பொன் வசந்தக் காலம் நீதானம்மா நான் பாடும் என் உயிரின் ராகம் கண்மணியின் பாவை என கண்ணுக்குள்ளே வந்தவளே உன்னத் தானே பாட்டில் வெச்சேன் நெஞ்சுக்குள்ளே பூட்டி வெச்சேன்.  ஆத்தோரத்திலே ஆலமரம் ஆலமரம் ஆலமரத்தில் தூளி கட்டி ஆட வரும் ஸ்வர்ணக்குயிலே  ஆத்தோரத்திலே ஆலமரம் ஆலமரம் ஆலமரத்தில் தூளி கட்டி ஆட வரும் ஸ்வர்ணக்குயிலே  கண்கள் இரண்டு அதில் ஒன்ன எனக்குத் தந்த உன் கடன எப்படி நான் தீர்ப்பேன் ரெண்டு குரல் இருந்தா ஒன்ன உனக்குத் தந்து நானும் உன்னை பாடச் சொல்லி கேட்பேன்  வெள்ளி நிலவில் கூட உள்ள களங்கம் பத்தி ஊரு சொல்லக் கேட்டதுண்டு மானே கள்ளம் கபடம் ஏதும் இல்லா குழந்தை என்று துள்ளி வந்த கொல்லி மலைத் தேனே  நேற்று வரைக்கும் நான் பார்த்த கற்பனைகள் யாவும் உண்மை எனவே நான் காண கண்ணில் வந்த ஒளியேஏ கண்மணியின் பாவை என கண்ணுக்குள்ளே வந்தவளே உன்னத் தானே பாட்டில் வெச்சேன் நெஞ்சுக்குள்ளே பூட்டி வெச்சேன்.  ஆத்தோரத்திலே ஆலமரம் ஆலமரம் ஆலமரத்தில் தூளி கட்டி ஆட வரும் ஸ்வர்ணக்குயிலே  ஆத்தோரத்திலே ஆலமரம் ஆலமரம் ஆலமரத்தில் தூளி கட்டி ஆட வரும் ஸ்வர்ணக்குயிலே,இளையராஜா,புலமைப்பித்தன்,ஹரிகரன்,காசி,2001,பொன்னம்மா,பொன்னம்மா,பெண்,குணம் சார்,பெண் சார் வர்ணணை
